iter	Passed	Remaining
0	55	5522
1	56	2770
2	57	1851
3	57	1386
4	58	1120
5	59	933
6	60	809
7	61	703
8	61	624
9	62	562
10	62	509
11	63	465
12	64	428
13	65	400
14	65	372
15	66	349
16	67	328
17	67	308
18	69	294
19	70	282
20	71	269
21	72	256
22	73	244
23	74	236
24	75	225
25	75	215
26	76	206
27	76	197
28	77	189
29	78	183
30	79	175
31	79	168
32	79	162
33	80	156
34	80	150
35	81	144
36	81	139
37	82	134
38	82	129
39	83	124
40	83	120
41	84	116
42	84	111
43	84	108
44	85	104
45	86	101
46	86	98
47	87	94
48	88	91
49	88	88
50	89	85
51	89	82
52	90	80
53	90	77
54	91	74
55	91	71
56	92	69
57	93	67
58	93	65
59	94	62
60	94	60
61	94	58
62	95	56
63	95	53
64	96	51
65	97	50
66	98	48
67	98	46
68	98	44
69	99	42
70	99	40
71	100	38
72	100	37
73	101	35
74	101	33
75	102	32
76	102	30
77	103	29
78	103	27
79	103	25
80	104	24
81	104	22
82	105	21
83	105	20
84	105	18
85	106	17
86	106	15
87	107	14
88	107	13
89	108	12
90	108	10
91	109	9
92	109	8
93	109	7
94	110	5
95	110	4
96	111	3
97	111	2
98	112	1
99	112	0
