iter	Logloss
0	0.6661869842
1	0.6415858637
2	0.6204610647
3	0.6017555834
4	0.5844382969
5	0.5692300249
6	0.5548923361
7	0.543627318
8	0.5327492917
9	0.521548651
10	0.5121228525
11	0.5042150679
12	0.4965841595
13	0.4893697603
14	0.4824842583
15	0.4763094749
16	0.4701421185
17	0.4659725523
18	0.4605853355
19	0.4560484162
20	0.4508841969
21	0.446205317
22	0.4419892568
23	0.4385544286
24	0.435797503
25	0.4329955187
26	0.4300554454
27	0.4274010084
28	0.4245907958
29	0.4226006671
30	0.4204268104
31	0.418158279
32	0.415938741
33	0.4140533889
34	0.4125857731
35	0.4106581968
36	0.4094131215
37	0.4077589776
38	0.4064179673
39	0.4049614397
40	0.4036810355
41	0.4024998787
42	0.402338644
43	0.4015036077
44	0.4000916324
45	0.3988723054
46	0.3978879074
47	0.3961514148
48	0.3952821892
49	0.3938973012
50	0.3928292116
51	0.3920558005
52	0.3909941142
53	0.3897916335
54	0.3882591348
55	0.3879630853
56	0.3870539216
57	0.385956588
58	0.3843912305
59	0.3833127478
60	0.3819506324
61	0.3810240543
62	0.3803959002
63	0.3799836116
64	0.3789191022
65	0.3784980017
66	0.3776864833
67	0.3771597854
68	0.3763101939
69	0.3760478671
70	0.3751858884
71	0.3744750561
72	0.37331151
73	0.3725653299
74	0.371149953
75	0.3708130025
76	0.3701359989
77	0.3695212337
78	0.3688449157
79	0.3685816511
80	0.36746198
81	0.3669422792
82	0.3662866951
83	0.3652207802
84	0.3646078212
85	0.3638362282
86	0.3632175082
87	0.3627409354
88	0.3620614381
89	0.3612764545
90	0.3607811771
91	0.35987263
92	0.3591493447
93	0.3583901974
94	0.3577257126
95	0.3574423956
96	0.3568081386
97	0.3561428512
98	0.3555249769
99	0.3549530123
