iter	Passed	Remaining
0	60	5982
1	61	2991
2	61	2004
3	62	1501
4	62	1196
5	63	994
6	64	851
7	64	740
8	64	655
9	65	589
10	65	532
11	66	486
12	66	446
13	67	417
14	68	387
15	68	362
16	69	339
17	69	318
18	70	300
19	71	285
20	72	271
21	72	257
22	73	245
23	73	233
24	74	222
25	74	211
26	74	202
27	76	195
28	76	187
29	78	182
30	78	175
31	80	170
32	80	164
33	82	159
34	82	153
35	83	147
36	83	141
37	83	136
38	84	131
39	84	126
40	84	122
41	85	117
42	85	113
43	87	110
44	87	107
45	88	104
46	90	101
47	91	99
48	92	96
49	93	93
50	94	90
51	95	87
52	95	84
53	96	82
54	97	80
55	98	77
56	100	75
57	100	72
58	101	70
59	102	68
60	102	65
61	103	63
62	105	61
63	105	59
64	107	57
65	108	55
66	108	53
67	109	51
68	109	49
69	109	47
70	110	45
71	110	43
72	111	41
73	111	39
74	112	37
75	112	35
76	112	33
77	113	31
78	113	30
79	113	28
80	114	26
81	114	25
82	115	23
83	115	22
84	116	20
85	116	18
86	117	17
87	117	16
88	118	14
89	118	13
90	119	11
91	119	10
92	120	9
93	120	7
94	121	6
95	121	5
96	122	3
97	123	2
98	124	1
99	124	0
